x0,x1,weight
34.84,-40.85,1.0
37.44,-39.57,1.0
30.43,-40.06,1.0
34.57,-37.18,1.0
41.46,-52.92,1.0
44.23,-52.01,1.0
32.13,-42.11,1.0
37.01,-42.12,1.0
36.0,-35.2,1.0
41.23,-54.89,1.0
33.8,-33.8,1.0
36.81,-51.74,1.0
43.59,-47.38,1.0
27.63,-41.56,1.0
40.48,-41.47,1.0
36.97,-44.03,1.0
26.27,-42.45,1.0
27.72,-36.5,1.0
48.27,-50.86,1.0
40.79,-46.45,1.0
38.22,-46.54,1.0
42.17,-41.67,1.0
31.54,-33.86,1.0
29.38,-35.03,1.0
26.13,-37.42,1.0
35.69,-52.4,1.0
26.04,-37.42,1.0
31.93,-46.03,1.0
27.2,-43.51,1.0
49.11,-52.63,1.0
47.99,-45.54,1.0
26.73,-37.94,1.0
47.62,-56.66,1.0
30.11,-32.93,1.0
44.45,-44.34,1.0
25.1,-37.11,1.0
45.26,-45.39,1.0
31.11,-32.51,1.0
31.65,-48.42,1.0
24.33,-37.42,1.0
50.76,-53.68,1.0
51.41,-46.09,1.0
43.3,-43.55,1.0
50.1,-45.02,1.0
50.65,-50.86,1.0
23.94,-43.42,1.0
50.39,-51.61,1.0
51.32,-53.0,1.0
26.2,-28.39,1.0
36.67,-31.21,1.0
45.14,-39.85,1.0
52.09,-43.1,1.0
53.14,-45.03,1.0
46.36,-57.8,1.0
45.27,-36.84,1.0
21.08,-36.36,1.0
42.44,-34.17,1.0
52.28,-51.59,1.0
20.25,-33.77,1.0
30.15,-29.41,1.0
55.51,-55.56,1.0
21.65,-39.47,1.0
44.72,-34.92,1.0
31.52,-50.53,1.0
54.24,-52.46,1.0
36.86,-56.06,1.0
21.58,-28.72,1.0
35.17,-56.21,1.0
54.12,-52.25,1.0
47.77,-58.61,1.0
21.26,-28.09,1.0
20.97,-28.23,1.0
44.6,-34.03,1.0
42.94,-33.49,1.0
31.97,-52.64,1.0
55.14,-47.78,1.0
20.79,-40.55,1.0
43.67,-33.38,1.0
47.31,-38.22,1.0
48.8,-60.25,1.0
21.4,-25.72,1.0
18.47,-36.56,1.0
54.75,-60.86,1.0
16.48,-27.36,1.0
28.12,-24.78,1.0
20.99,-23.29,1.0
48.13,-38.6,1.0
19.45,-39.61,1.0
41.97,-30.3,1.0
46.73,-33.85,1.0
11.78,-23.7,1.0
48.19,-37.13,1.0
14.77,-34.82,1.0
38.9,-58.31,1.0
57.95,-46.06,1.0
13.25,-33.33,1.0
56.73,-45.05,1.0
17.05,-23.3,1.0
14.47,-29.77,1.0
39.48,-59.1,1.0
20.16,-21.32,1.0
11.79,-28.31,1.0
28.19,-52.92,1.0
57.57,-45.08,1.0
20.64,-44.94,1.0
30.23,-54.55,1.0
12.81,-31.53,1.0
24.98,-23.58,1.0
48.33,-64.15,1.0
49.78,-37.26,1.0
38.03,-27.21,1.0
62.2,-51.31,1.0
22.13,-21.74,1.0
61.08,-52.17,1.0
37.97,-26.07,1.0
57.98,-62.1,1.0
9.92,-20.63,1.0
49.41,-35.17,1.0
39.01,-27.29,1.0
18.34,-21.45,1.0
46.58,-65.54,1.0
39.29,-60.71,1.0
9.54,-25.86,1.0
21.99,-20.43,1.0
13.32,-17.53,1.0
60.35,-47.52,1.0
12.49,-21.36,1.0
53.67,-65.87,1.0
52.83,-66.94,1.0
59.09,-64.18,1.0
19.14,-17.72,1.0
64.87,-51.24,1.0
58.37,-64.98,1.0
15.04,-16.66,1.0
16.5,-16.66,1.0
57.36,-66.87,1.0
61.77,-48.53,1.0
6.6,-24.89,1.0
64.76,-58.7,1.0
62.47,-65.41,1.0
60.02,-67.3,1.0
2.95,-14.56,1.0
64.41,-63.72,1.0
36.38,-60.41,1.0
56.15,-40.21,1.0
4.56,-31.44,1.0
67.48,-60.2,1.0
4.73,-15.74,1.0
52.08,-33.73,1.0
10.5,-17.06,1.0
65.64,-62.47,1.0
5.56,-32.34,1.0
28.3,-20.01,1.0
10.19,-14.41,1.0
9.17,-35.68,1.0
68.77,-58.81,1.0
8.72,-16.82,1.0
20.95,-49.88,1.0
16.73,-44.92,1.0
7.85,-13.65,1.0
36.34,-20.91,1.0
7.87,-11.35,1.0
15.97,-43.6,1.0
45.8,-26.44,1.0
-3.38,-18.31,1.0
7.95,-38.36,1.0
57.95,-40.17,1.0
61.29,-69.89,1.0
35.81,-19.5,1.0
62.99,-67.77,1.0
11.71,-14.79,1.0
67.88,-61.87,1.0
30.01,-18.69,1.0
46.9,-68.4,1.0
6.78,-35.97,1.0
69.04,-53.99,1.0
-1.72,-10.21,1.0
9.87,-12.14,1.0
68.46,-61.86,1.0
17.48,-49.8,1.0
62.2,-43.37,1.0
53.89,-71.6,1.0
-0.86,-21.58,1.0
65.59,-67.51,1.0
-5.73,-19.79,1.0
5.58,-36.85,1.0
59.7,-38.44,1.0
73.62,-55.84,1.0
22.28,-15.17,1.0
13.16,-10.43,1.0
-3.44,-20.71,1.0
14.92,-46.27,1.0
0.76,-32.96,1.0
16.73,-12.3,1.0
-6.21,-18.2,1.0
-6.53,-19.2,1.0
66.85,-67.79,1.0
70.36,-66.84,1.0
-6.88,-12.95,1.0
75.99,-56.77,1.0
60.69,-73.7,1.0
57.32,-34.69,1.0
-4.16,-22.67,1.0
61.26,-73.77,1.0
-9.82,-5.65,1.0
-7.88,-17.73,1.0
-8.38,-8.66,1.0
27.79,-61.16,1.0
-1.49,-5.81,1.0
29.78,-15.19,1.0
-5.07,-8.04,1.0
22.06,-57.63,1.0
10.42,-44.85,1.0
21.43,-57.34,1.0
-3.72,-5.43,1.0
66.7,-73.64,1.0
14.11,-7.18,1.0
-9.03,-14.4,1.0
44.99,-73.67,1.0
-2.64,-2.57,1.0
14.08,-5.97,1.0
58.45,-32.55,1.0
-5.53,-27.3,1.0
18.34,-8.32,1.0
-12.49,-1.24,1.0
41.06,-70.4,1.0
-7.29,-22.33,1.0
40.15,-71.65,1.0
63.33,-75.26,1.0
80.96,-67.43,1.0
0.01,0.48,1.0
63.64,-75.5,1.0
74.17,-69.97,1.0
61.41,-76.19,1.0
2.02,0.53,1.0
61.83,-75.26,1.0
75.77,-66.01,1.0
81.37,-71.45,1.0
74.91,-70.36,1.0
81.42,-72.02,1.0
-3.77,1.86,1.0
82.23,-67.03,1.0
77.0,-52.91,1.0
34.48,-68.97,1.0
-14.43,-12.09,1.0
-0.32,-37.78,1.0
-16.35,-2.27,1.0
-14.32,-18.22,1.0
87.19,-72.99,1.0
71.71,-77.69,1.0
42.55,-74.04,1.0
88.19,-75.01,1.0
-14.77,-14.38,1.0
87.76,-71.9,1.0
68.91,-78.82,1.0
68.88,-78.7,1.0
60.78,-78.16,1.0
3.97,1.02,1.0
36.08,-14.52,1.0
85.42,-65.92,1.0
-17.0,-12.63,1.0
39.33,-73.62,1.0
58.82,-78.89,1.0
61.29,-30.77,1.0
81.09,-79.38,1.0
-19.26,-1.66,1.0
-12.6,2.9,1.0
74.21,-77.21,1.0
68.92,-39.55,1.0
14.89,-55.01,1.0
-16.41,0.25,1.0
-15.61,1.01,1.0
-16.24,-16.22,1.0
44.93,-19.27,1.0
-10.97,4.07,1.0
44.82,-76.01,1.0
-19.16,-0.99,1.0
15.8,-1.46,1.0
-16.92,-16.31,1.0
27.59,-65.87,1.0
-19.47,-12.93,1.0
-21.61,1.94,1.0
-18.76,3.42,1.0
86.92,-63.79,1.0
17.28,-1.22,1.0
-12.34,6.01,1.0
4.14,3.31,1.0
-25.46,-10.12,1.0
-5.31,5.52,1.0
-1.88,5.51,1.0
-25.49,-11.25,1.0
32.62,-72.15,1.0
-127.66,73.23,1.0
-126.05,78.02,1.0
-25.72,4.63,1.0
-16.28,-22.98,1.0
14.21,1.33,1.0
-124.14,76.28,1.0
1.44,7.08,1.0
-25.93,7.11,1.0
82.46,-88.2,1.0
-128.02,71.97,1.0
-12.72,9.33,1.0
-131.42,74.44,1.0
-122.3,75.95,1.0
-133.01,68.27,1.0
-128.47,66.6,1.0
-127.53,66.01,1.0
-4.84,-38.56,1.0
-125.62,69.73,1.0
-124.87,70.77,1.0
65.43,-87.56,1.0
93.13,-76.9,1.0
-139.86,69.24,1.0
117.78,62.85,1.0
119.76,47.72,1.0
125.81,44.54,1.0
-132.58,78.32,1.0
76.55,-89.56,1.0
122.78,47.09,1.0
126.04,44.26,1.0
135.26,55.03,1.0
130.04,55.62,1.0
113.68,59.59,1.0
89.92,-87.5,1.0
121.09,46.18,1.0
94.72,-80.31,1.0
113.02,64.32,1.0
8.46,6.96,1.0
-125.23,84.88,1.0
112.23,42.9,1.0
-114.84,73.8,1.0
127.31,57.42,1.0
117.26,56.92,1.0
-116.52,81.74,1.0
122.45,65.91,1.0
40.61,-81.13,1.0
117.3,46.31,1.0
-53.71,-159.34,1.0
133.9,57.51,1.0
-123.36,86.67,1.0
-33.56,-2.93,1.0
118.07,55.4,1.0
125.69,53.63,1.0
137.47,49.89,1.0
-121.56,64.3,1.0
-20.26,13.45,1.0
-78.06,-138.69,1.0
-35.32,-3.29,1.0
108.26,59.07,1.0
-53.15,-168.72,1.0
-20.03,15.51,1.0
-124.34,86.19,1.0
132.4,46.03,1.0
109.23,60.09,1.0
132.87,45.7,1.0
117.58,37.79,1.0
134.32,60.99,1.0
115.32,51.86,1.0
-124.18,62.52,1.0
-140.55,66.12,1.0
-141.77,61.26,1.0
61.35,-88.32,1.0
96.13,-67.72,1.0
98.5,-72.28,1.0
-111.4,73.23,1.0
110.27,54.14,1.0
-32.82,-13.12,1.0
-56.35,-167.13,1.0
109.45,44.84,1.0
-108.41,78.4,1.0
112.19,53.63,1.0
-143.96,73.08,1.0
-82.4,-123.74,1.0
-49.33,-166.96,1.0
-52.88,-167.48,1.0
101.09,48.39,1.0
-111.0,74.6,1.0
-134.64,55.03,1.0
-122.34,93.54,1.0
-59.26,-151.25,1.0
-35.81,1.63,1.0
-112.83,84.22,1.0
-35.72,2.22,1.0
99.39,-84.06,1.0
-148.48,64.2,1.0
134.05,68.49,1.0
-74.87,-145.16,1.0
-125.94,55.76,1.0
-61.37,-162.44,1.0
-83.07,-133.74,1.0
-86.56,-132.69,1.0
-80.1,-138.03,1.0
-97.64,-117.16,1.0
122.26,69.93,1.0
-146.58,69.42,1.0
-37.47,9.44,1.0
-73.82,-128.81,1.0
-82.67,-130.46,1.0
-17.62,18.33,1.0
-131.94,90.68,1.0
89.41,-53.83,1.0
-104.25,-120.92,1.0
-47.6,-171.77,1.0
-46.83,-175.13,1.0
-89.53,-132.43,1.0
-102.44,-117.91,1.0
-114.85,90.87,1.0
-103.03,-116.12,1.0
-95.81,-119.96,1.0
-67.02,-146.62,1.0
139.31,61.48,1.0
-139.51,82.21,1.0
-118.61,89.61,1.0
97.91,46.78,1.0
-121.71,94.09,1.0
-54.18,-150.66,1.0
116.77,34.01,1.0
-71.11,-147.46,1.0
-19.07,-25.16,1.0
125.39,38.23,1.0
-69.92,-146.52,1.0
-109.32,-120.5,1.0
-62.44,-167.18,1.0
-95.25,-114.03,1.0
-43.68,-176.18,1.0
84.58,-92.17,1.0
-34.63,7.38,1.0
-145.84,53.83,1.0
-88.06,-117.41,1.0
101.35,41.64,1.0
91.87,-54.13,1.0
-52.29,-147.29,1.0
-144.07,57.02,1.0
-154.07,34.26,1.0
144.41,54.22,1.0
-110.87,-109.86,1.0
-147.27,51.34,1.0
-110.36,-113.16,1.0
-33.36,11.08,1.0
-144.96,51.96,1.0
94.26,-57.94,1.0
104.12,-79.63,1.0
-71.19,-139.16,1.0
-68.4,-142.21,1.0
-138.21,49.23,1.0
-109.97,88.44,1.0
84.99,-94.15,1.0
104.45,-89.7,1.0
-137.75,45.6,1.0
1.22,189.35,1.0
-60.7,-138.24,1.0
-59.6,-141.99,1.0
-95.92,-133.09,1.0
-152.5,26.33,1.0
-39.7,8.55,1.0
-72.26,-153.39,1.0
-99.42,-136.81,1.0
98.52,59.01,1.0
104.75,55.72,1.0
-119.7,56.49,1.0
