x,y,rho
8.874915123,41.057075500,134.180953979
9.414788246,43.194221497,495.897186279
10.992991447,44.240253448,207.626312256
9.375373840,42.735569000,483.512847900
8.714147568,41.617855072,217.382431030
8.056430817,44.988647461,66.154731750
9.253048897,42.599800110,456.973541260
8.509905815,43.815364838,273.539489746
8.148802757,42.825134277,245.616333008
8.867234230,43.424774170,396.985656738
9.251895905,41.857242584,326.568237305
9.734519005,43.466205597,484.891784668
9.829217911,43.340343475,495.899078369
9.128378868,42.675132751,447.632476807
9.090240479,42.678321838,442.016174316
8.949554443,41.311592102,185.409652710
9.940127373,42.636093140,484.758422852
8.132502556,43.500656128,221.480758667
8.855401993,43.089817047,413.367248535
10.491791725,43.166854858,428.233245850
10.902101517,41.803047180,217.347961426
10.165042877,42.353061676,428.548980713
8.891903877,42.459022522,384.311126709
9.451148033,43.094039917,501.899841309
8.597551346,43.938701630,273.575225830
10.228363037,41.501628876,241.452011108
11.250952721,44.933761597,80.474876404
10.941480637,42.857948303,330.836578369
8.691947937,44.092323303,265.678283691
9.359523773,44.260318756,315.860778809
9.970975876,44.014511108,380.405395508
10.119067192,43.744445801,421.636413574
9.773200989,44.823741913,197.069976807
9.889613152,43.439861298,483.235870361
11.645851135,41.690113068,91.092597961
8.492216110,44.007270813,242.831893921
8.589577675,44.981494904,107.622612000
9.349081993,42.290416718,422.276184082
11.685643196,44.518386841,76.097389221
11.630259514,43.943916321,133.317352295
8.901474953,44.947937012,136.043395996
9.494697571,43.840328217,418.235229492
10.709952354,42.882862091,384.714080811
10.376780510,43.960079193,352.372589111
10.139126778,41.938472748,350.302429199
10.060938835,44.364257812,295.937194824
9.068133354,42.888237000,451.850738525
9.327547073,44.887138367,172.899734497
10.434995651,43.445335388,419.149658203
8.992784500,43.577121735,403.631164551
9.088368416,43.069702148,457.843048096
9.126854897,43.714305878,404.670440674
10.339291573,42.829574585,454.361267090
10.158707619,41.944812775,350.005828857
8.271443367,43.477264404,255.353637695
9.929374695,43.672904968,448.569458008
12.145845413,43.982353210,60.153739929
8.849878311,44.154888153,279.952301025
8.446793556,42.576290131,303.913970947
9.694458961,44.751216888,212.742294312
9.017946243,42.211433411,368.281646729
9.664248466,42.374393463,454.568450928
10.889336586,41.957942963,245.660903931
8.615232468,42.600051880,343.197204590
9.264668465,44.967407227,154.534912109
10.712121964,43.125423431,384.506652832
8.537264824,43.882236481,269.945953369
8.762485504,41.493103027,200.655044556
10.950730324,43.354816437,320.746063232
10.683559418,43.356601715,379.259338379
10.619531631,42.386848450,363.481628418
8.728458405,43.719467163,332.741424561
8.959291458,42.348323822,380.902832031
9.307168007,43.055351257,488.767242432
9.408706665,41.662921906,294.043853760
9.119082451,40.814468384,107.819145203
10.387931824,41.435813904,212.559524536
8.658317566,43.090038300,369.283386230
9.023138046,44.580886841,214.329833984
8.469843864,43.304924011,315.234710693
9.723418236,41.869781494,351.831115723
10.285977364,42.866325378,464.063293457
10.534491539,43.861377716,346.209228516
11.925936699,44.374401093,61.466300964
9.393519402,42.798492432,489.811950684
10.862360001,43.693138123,309.100250244
10.402832031,41.420917511,207.910919189
9.738374710,42.299842834,442.428131104
10.042625427,42.939723969,495.667114258
10.672879219,43.355091095,381.592376709
10.549028397,42.571453094,398.490356445
8.818254471,42.627822876,388.243194580
9.745680809,43.417026520,490.390991211
12.022009850,42.995616913,102.099624634
8.806756020,42.691890717,391.118194580
9.299104691,43.519355774,455.747467041
8.221903801,43.101135254,262.460083008
9.919207573,43.270053864,497.052368164
9.165384293,42.799949646,462.752990723
8.338640213,42.544551849,277.323944092
9.219839096,43.453922272,454.090545654
8.606518745,43.819072723,293.244537354
11.257184982,40.967887878,61.735591888
10.188959122,43.714782715,419.130279541
9.125264168,42.640602112,443.876007080
9.629819870,42.740081787,499.375488281
9.453687668,41.361869812,226.673477173
10.915032387,44.117492676,239.712417603
8.949336052,41.571449280,236.267272949
10.283765793,42.462085724,429.935424805
9.904653549,42.718544006,494.274261475
10.454239845,43.732624054,379.517303467
9.037103653,41.654510498,262.394042969
8.179762840,43.648254395,220.133132935
8.573841095,42.531055450,328.300231934
9.166386604,42.985305786,469.968078613
7.826420784,43.226650238,168.818344116
10.286591530,43.126296997,464.622680664
9.451814651,43.135272980,500.994415283
10.161746979,40.265281677,39.964298248
11.718612671,43.427967072,149.403121948
9.110292435,42.646919250,442.215820312
10.256443024,42.921768188,469.995788574
7.732016087,45.102367401,38.476367950
9.652159691,44.058044434,376.855743408
9.070651054,44.574249268,220.154846191
10.049044609,43.646717072,444.097686768
8.717447281,44.249019623,241.756271362
10.452519417,44.339717865,267.362762451
9.134613037,42.556846619,436.157073975
12.066617012,41.977855682,63.109416962
9.626750946,44.174766541,349.117889404
9.860425949,43.620826721,460.289581299
9.363251686,43.407928467,475.340911865
8.456173897,44.696002960,134.272155762
9.644536972,42.357696533,451.370880127
10.429083824,42.577152252,420.876037598
8.428442001,41.691154480,190.230163574
10.456474304,42.878299713,435.999328613
9.628998756,44.115615845,363.118133545
8.635874748,42.307193756,316.454467773
9.377820969,43.132225037,494.862121582
9.720529556,42.750984192,501.453918457
9.701074600,42.930568695,510.747589111
