x,y,rho
8.874915123,41.057075500,130.000000000
9.414788246,43.194221497,505.000000000
10.992991447,44.240253448,211.000000000
9.375373840,42.735569000,484.500000000
8.714147568,41.617855072,220.000000000
8.056430817,44.988647461,66.500000000
9.253048897,42.599800110,454.500000000
8.509905815,43.815364838,269.500000000
8.148802757,42.825134277,243.500000000
8.867234230,43.424774170,393.000000000
9.251895905,41.857242584,327.000000000
9.734519005,43.466205597,483.500000000
9.829217911,43.340343475,498.500000000
9.128378868,42.675132751,448.000000000
9.090240479,42.678321838,443.500000000
8.949554443,41.311592102,189.000000000
9.940127373,42.636093140,490.500000000
8.132502556,43.500656128,221.000000000
8.855401993,43.089817047,412.000000000
10.491791725,43.166854858,428.500000000
10.902101517,41.803047180,216.500000000
10.165042877,42.353061676,425.500000000
8.891903877,42.459022522,382.500000000
9.451148033,43.094039917,504.500000000
8.597551346,43.938701630,276.000000000
10.228363037,41.501628876,238.500000000
11.250952721,44.933761597,86.500000000
10.941480637,42.857948303,329.000000000
8.691947937,44.092323303,269.000000000
9.359523773,44.260318756,318.500000000
9.970975876,44.014511108,380.500000000
10.119067192,43.744445801,419.500000000
9.773200989,44.823741913,197.000000000
9.889613152,43.439861298,484.000000000
11.645851135,41.690113068,91.000000000
8.492216110,44.007270813,239.000000000
8.589577675,44.981494904,110.500000000
9.349081993,42.290416718,425.000000000
11.685643196,44.518386841,74.500000000
11.630259514,43.943916321,133.000000000
8.901474953,44.947937012,137.500000000
9.494697571,43.840328217,417.000000000
10.709952354,42.882862091,383.500000000
10.376780510,43.960079193,350.000000000
10.139126778,41.938472748,354.000000000
10.060938835,44.364257812,295.000000000
9.068133354,42.888237000,450.000000000
9.327547073,44.887138367,178.500000000
10.434995651,43.445335388,415.500000000
8.992784500,43.577121735,402.000000000
9.088368416,43.069702148,461.000000000
9.126854897,43.714305878,405.000000000
10.339291573,42.829574585,454.000000000
10.158707619,41.944812775,354.000000000
8.271443367,43.477264404,250.500000000
9.929374695,43.672904968,446.500000000
12.145845413,43.982353210,61.000000000
8.849878311,44.154888153,277.000000000
8.446793556,42.576290131,306.000000000
9.694458961,44.751216888,209.500000000
9.017946243,42.211433411,367.500000000
9.664248466,42.374393463,453.500000000
10.889336586,41.957942963,244.000000000
8.615232468,42.600051880,341.500000000
9.264668465,44.967407227,154.000000000
10.712121964,43.125423431,382.500000000
8.537264824,43.882236481,271.000000000
8.762485504,41.493103027,203.500000000
10.950730324,43.354816437,315.500000000
10.683559418,43.356601715,378.000000000
10.619531631,42.386848450,365.500000000
8.728458405,43.719467163,332.500000000
8.959291458,42.348323822,376.500000000
9.307168007,43.055351257,493.500000000
9.408706665,41.662921906,295.500000000
9.119082451,40.814468384,107.000000000
10.387931824,41.435813904,212.000000000
8.658317566,43.090038300,369.500000000
9.023138046,44.580886841,216.000000000
8.469843864,43.304924011,313.500000000
9.723418236,41.869781494,353.500000000
10.285977364,42.866325378,466.000000000
10.534491539,43.861377716,346.000000000
11.925936699,44.374401093,61.000000000
9.393519402,42.798492432,492.000000000
10.862360001,43.693138123,308.000000000
10.402832031,41.420917511,208.500000000
9.738374710,42.299842834,446.500000000
10.042625427,42.939723969,491.000000000
10.672879219,43.355091095,382.000000000
10.549028397,42.571453094,395.500000000
8.818254471,42.627822876,390.000000000
9.745680809,43.417026520,491.000000000
12.022009850,42.995616913,99.500000000
8.806756020,42.691890717,396.500000000
9.299104691,43.519355774,464.500000000
8.221903801,43.101135254,261.000000000
9.919207573,43.270053864,496.000000000
9.165384293,42.799949646,460.500000000
8.338640213,42.544551849,276.500000000
9.219839096,43.453922272,458.000000000
8.606518745,43.819072723,295.500000000
11.257184982,40.967887878,63.000000000
10.188959122,43.714782715,414.500000000
9.125264168,42.640602112,443.500000000
9.629819870,42.740081787,503.500000000
9.453687668,41.361869812,228.500000000
10.915032387,44.117492676,247.000000000
8.949336052,41.571449280,234.500000000
10.283765793,42.462085724,429.500000000
9.904653549,42.718544006,495.500000000
10.454239845,43.732624054,377.000000000
9.037103653,41.654510498,262.500000000
8.179762840,43.648254395,221.500000000
8.573841095,42.531055450,328.000000000
9.166386604,42.985305786,471.500000000
7.826420784,43.226650238,169.500000000
10.286591530,43.126296997,466.500000000
9.451814651,43.135272980,506.000000000
10.161746979,40.265281677,39.000000000
11.718612671,43.427967072,151.500000000
9.110292435,42.646919250,442.500000000
10.256443024,42.921768188,469.500000000
7.732016087,45.102367401,39.000000000
9.652159691,44.058044434,377.500000000
9.070651054,44.574249268,220.000000000
10.049044609,43.646717072,441.500000000
8.717447281,44.249019623,241.000000000
10.452519417,44.339717865,270.000000000
9.134613037,42.556846619,438.500000000
12.066617012,41.977855682,62.500000000
9.626750946,44.174766541,348.000000000
9.860425949,43.620826721,457.000000000
9.363251686,43.407928467,483.000000000
8.456173897,44.696002960,134.000000000
9.644536972,42.357696533,450.500000000
10.429083824,42.577152252,422.000000000
8.428442001,41.691154480,191.500000000
