x,y,rho
8.874915123,41.057075500,71.705421448
9.414788246,43.194221497,247.615539551
10.992991447,44.240253448,105.393630981
9.375373840,42.735569000,243.038497925
8.714147568,41.617855072,112.747055054
8.056430817,44.988647461,32.098766327
9.253048897,42.599800110,229.816314697
8.509905815,43.815364838,132.657760620
8.148802757,42.825134277,120.549781799
8.867234230,43.424774170,196.117507935
9.251895905,41.857242584,166.863510132
9.734519005,43.466205597,241.605407715
9.829217911,43.340343475,247.817382812
9.128378868,42.675132751,224.485488892
9.090240479,42.678321838,221.546768188
8.949554443,41.311592102,97.522270203
9.940127373,42.636093140,245.545440674
8.132502556,43.500656128,106.937156677
8.855401993,43.089817047,205.275634766
10.491791725,43.166854858,215.970520020
10.902101517,41.803047180,107.582427979
10.165042877,42.353061676,217.901565552
8.891903877,42.459022522,192.904693604
9.451148033,43.094039917,251.101638794
8.597551346,43.938701630,132.400344849
10.228363037,41.501628876,121.135215759
11.250952721,44.933761597,39.574386597
10.941480637,42.857948303,167.941848755
8.691947937,44.092323303,128.095336914
9.359523773,44.260318756,153.806976318
9.970975876,44.014511108,188.411087036
10.119067192,43.744445801,209.955810547
9.773200989,44.823741913,95.285964966
9.889613152,43.439861298,241.183273315
11.645851135,41.690113068,42.912944794
8.492216110,44.007270813,116.883827209
8.589577675,44.981494904,50.841743469
9.349081993,42.290416718,213.715133667
11.685643196,44.518386841,39.647441864
11.630259514,43.943916321,70.871093750
8.901474953,44.947937012,64.192115784
9.494697571,43.840328217,206.455490112
10.709952354,42.882862091,194.994552612
10.376780510,43.960079193,175.862960815
10.139126778,41.938472748,177.796661377
10.060938835,44.364257812,146.098892212
9.068133354,42.888237000,225.711959839
9.327547073,44.887138367,82.376296997
10.434995651,43.445335388,210.424331665
8.992784500,43.577121735,199.157546997
9.088368416,43.069702148,228.198135376
9.126854897,43.714305878,199.399398804
10.339291573,42.829574585,230.030700684
10.158707619,41.944812775,177.615509033
8.271443367,43.477264404,124.063362122
9.929374695,43.672904968,223.108306885
12.145845413,43.982353210,33.808204651
8.849878311,44.154888153,135.162002563
8.446793556,42.576290131,151.195709229
9.694458961,44.751216888,102.928344727
9.017946243,42.211433411,186.215255737
9.664248466,42.374393463,230.463378906
10.889336586,41.957942963,122.516090393
8.615232468,42.600051880,171.110839844
9.264668465,44.967407227,73.371864319
10.712121964,43.125423431,194.573760986
8.537264824,43.882236481,130.704360962
8.762485504,41.493103027,104.772445679
10.950730324,43.354816437,163.068344116
10.683559418,43.356601715,191.456481934
10.619531631,42.386848450,184.347015381
8.728458405,43.719467163,162.756118774
8.959291458,42.348323822,191.823547363
9.307168007,43.055351257,244.315444946
9.408706665,41.662921906,150.766143799
9.119082451,40.814468384,58.108917236
10.387931824,41.435813904,105.716323853
8.658317566,43.090038300,182.731918335
9.023138046,44.580886841,102.170616150
8.469843864,43.304924011,154.726837158
9.723418236,41.869781494,179.175842285
10.285977364,42.866325378,234.751449585
10.534491539,43.861377716,173.520370483
11.925936699,44.374401093,33.051433563
9.393519402,42.798492432,246.029357910
10.862360001,43.693138123,156.602218628
10.402832031,41.420917511,103.272895813
9.738374710,42.299842834,224.637466431
10.042625427,42.939723969,249.995651245
10.672879219,43.355091095,192.592437744
10.549028397,42.571453094,202.288040161
8.818254471,42.627822876,194.035125732
9.745680809,43.417026520,244.577728271
12.022009850,42.995616913,54.696430206
8.806756020,42.691890717,195.213012695
9.299104691,43.519355774,226.021240234
8.221903801,43.101135254,128.330963135
9.919207573,43.270053864,248.888092041
9.165384293,42.799949646,231.754516602
8.338640213,42.544551849,137.805053711
9.219839096,43.453922272,225.293167114
8.606518745,43.819072723,142.561325073
11.257184982,40.967887878,28.431663513
10.188959122,43.714782715,208.971038818
9.125264168,42.640602112,222.711059570
9.629819870,42.740081787,251.771423340
9.453687668,41.361869812,117.051368713
10.915032387,44.117492676,121.472549438
8.949336052,41.571449280,122.554534912
10.283765793,42.462085724,218.499481201
9.904653549,42.718544006,249.968063354
10.454239845,43.732624054,190.033737183
9.037103653,41.654510498,135.392639160
8.179762840,43.648254395,106.106307983
8.573841095,42.531055450,163.844741821
9.166386604,42.985305786,234.757324219
7.826420784,43.226650238,80.758209229
10.286591530,43.126296997,233.992004395
9.451814651,43.135272980,250.488296509
10.161746979,40.265281677,21.614830017
11.718612671,43.427967072,79.576927185
9.110292435,42.646919250,221.813568115
10.256443024,42.921768188,237.479766846
7.732016087,45.102367401,19.786828995
9.652159691,44.058044434,185.584350586
9.070651054,44.574249268,105.121032715
10.049044609,43.646717072,221.245147705
8.717447281,44.249019623,115.863906860
10.452519417,44.339717865,133.233947754
9.134613037,42.556846619,219.167083740
12.066617012,41.977855682,30.552249908
9.626750946,44.174766541,171.411499023
9.860425949,43.620826721,228.976806641
9.363251686,43.407928467,236.381103516
8.456173897,44.696002960,63.183177948
9.644536972,42.357696533,228.843429565
10.429083824,42.577152252,213.714157104
8.428442001,41.691154480,98.183044434
10.456474304,42.878299713,220.716140747
9.628998756,44.115615845,178.524108887
8.635874748,42.307193756,159.061035156
9.377820969,43.132225037,247.257156372
9.720529556,42.750984192,253.020126343
9.701074600,42.930568695,256.876739502
9.043096542,42.224880219,189.191070557
10.037217140,42.146957397,204.757385254
8.605345726,42.725582123,173.850708008
9.605033875,45.294597626,50.959087372
9.058000565,43.981132507,168.691360474
10.509888649,41.848926544,144.795928955
10.535953522,41.853992462,143.363220215
7.103528500,43.644191742,23.371595383
8.006810188,43.488807678,93.382934570
9.078689575,44.697425842,92.931083679
10.831210136,42.584487915,172.510864258
9.074863434,41.823795319,154.446304321
9.321778297,42.757518768,240.924499512
9.398007393,43.194576263,246.849441528
10.341221809,43.387527466,220.835556030
8.998557091,41.600082397,127.954345703
11.127232552,42.348423004,125.775413513
9.110406876,42.516685486,215.014038086
7.919631004,42.559898376,91.632614136
9.283044815,43.658229828,214.458084106
10.461157799,43.041645050,220.665634155
10.694549561,43.377838135,189.512680054
9.747018814,43.198802948,254.167526245
9.572047234,42.643024445,246.426284790
9.494967461,41.909862518,181.058502197
10.043142319,42.044750214,193.699401855
10.604331970,42.788414001,204.610610962
9.812195778,43.531711578,236.537719727
10.406015396,41.467250824,108.315681458
9.555797577,43.918052673,199.789779663
8.064595222,43.425155640,101.818466187
7.507136345,42.015365601,42.492576599
9.801331520,41.381156921,119.059669495
8.777190208,41.566040039,112.174461365
11.410835266,43.202102661,114.176872253
10.329991341,42.815196991,230.486358643
9.409269333,41.421398163,123.132606506
9.470863342,42.276382446,217.573196411
10.620624542,44.178974152,138.768692017
11.229279518,43.890426636,109.234642029
9.164047241,41.921977997,169.223907471
10.529363632,43.394165039,204.732177734
7.994162560,43.393356323,94.901802063
10.577220917,43.096797943,208.975936890
9.577647209,42.230224609,216.365905762
8.316165924,43.838172913,110.729667664
9.453586578,42.804405212,248.871109009
11.495422363,43.722373962,92.301689148
10.133525848,43.179935455,242.734832764
11.282695770,44.757461548,48.518207550
10.692205429,43.620098114,177.415817261
7.668097496,43.161594391,66.265296936
9.632594109,43.131828308,255.286163330
10.705746651,40.298194885,16.119314194
9.193388939,43.307777405,230.793838501
9.295855522,41.620967865,142.796142578
10.631664276,43.314746857,198.204147339
8.791596413,43.352691650,191.292541504
10.584286690,43.043167114,208.794769287
10.563265800,43.116134644,210.087005615
9.367471695,41.878452301,173.776351929
9.676770210,43.232166290,253.055526733
10.638533592,42.922767639,203.120025635
10.220116615,42.073261261,188.600387573
8.980072021,42.927482605,218.124664307
8.708072662,43.858119965,149.834945679
10.225831032,43.316970825,232.280319214
10.101604462,45.058917999,69.067985535
9.293836594,40.836433411,62.504032135
9.962000847,42.987270355,253.250320435
9.245182037,42.059043884,187.157241821
9.323511124,43.219211578,242.319854736
9.259883881,45.450328827,38.371433258
8.802196503,42.244754791,170.796234131
7.474080563,43.289356232,48.381477356
7.746294022,42.498416901,73.235366821
9.487030029,42.328144073,222.589752197
11.501573563,44.032268524,77.188865662
11.081837654,42.155452728,118.426673889
10.891294479,43.533874512,162.345031738
10.534107208,44.067310333,155.294799805
8.853937149,42.613555908,197.060867310
10.625296593,40.382255554,19.707433701
11.276028633,43.591007233,119.426170349
9.716997147,43.258380890,252.246673584
8.732765198,42.687931061,187.138900757
10.862984657,44.335895538,107.238067627
12.458925247,42.963947296,26.988767624
9.104147911,42.523639679,214.934692383
8.744658470,42.960018158,193.401794434
10.145433426,43.003631592,244.778381348
10.859047890,42.803657532,176.620574951
9.415249825,42.456604004,229.749801636
8.130065918,41.470104218,62.063022614
8.583542824,44.339302063,97.861869812
10.657960892,44.412837982,113.935424805
8.430489540,41.069248199,53.466464996
9.102644920,43.213691711,226.874588013
10.261390686,44.085845947,169.865982056
10.046980858,44.780540466,98.365348816
9.540095329,42.124794006,205.199905396
8.081482887,42.148902893,95.331008911
10.004818916,42.149154663,206.086517334
10.699442863,44.450199127,107.804718018
7.393114090,43.901924133,33.482559204
7.523096561,43.439373016,49.839042664
10.987571716,43.102729797,163.693893433
8.483011246,42.452442169,150.540313721
9.501055717,42.855628967,251.897293091
9.559803963,42.927989960,254.772888184
9.976181030,41.829299927,170.765914917
9.520681381,44.556133270,123.042564392
9.378055573,42.594036102,236.635452271
10.840898514,40.478687286,19.449640274
10.944079399,42.405967712,150.148300171
9.926629066,43.134193420,252.768493652
10.705168724,42.770278931,193.362136841
9.084674835,44.335720062,131.725906372
7.398527145,43.058208466,44.998027802
8.414774895,42.276298523,134.860626221
11.773957253,42.993278503,76.152862549
9.957770348,41.256309509,101.407669067
9.033656120,43.234432220,220.232025146
10.117458344,43.654758453,217.546905518
9.771328926,43.564876556,234.507369995
10.216483116,41.208133698,88.056442261
9.799706459,43.805774689,213.145187378
10.352581024,42.674015045,224.463943481
8.957074165,41.919559479,156.326934814
9.631647110,44.170951843,171.940505981
7.810896873,42.377983093,76.970535278
8.622898102,43.822830200,143.980224609
9.208391190,42.567234039,225.080551147
9.545751572,43.483264923,238.488616943
9.370311737,39.991729736,13.739878654
10.306013107,43.476917267,218.606002808
9.543159485,41.953838348,187.039810181
10.114480972,43.417110443,233.905563354
9.292668343,42.821140289,241.104095459
8.832544327,42.859283447,202.162094116
8.212271690,43.455192566,117.897369385
