dataset,n_points,n_clusters,time_ms,n_negative,min_rho
data_1024,1024,20,1472.578414,0,0.504488
data_1048576,1048576,2039,1763568.749964,1,-0.830361
data_131072,131072,20,198367.175558,10,-1.095052
data_16384,16384,20,24096.203557,0,0.043222
data_2048,2048,20,3106.134724,0,0.437398
data_262144,262144,20,409519.571089,11,-0.812851
data_32768,32768,20,50144.064818,1,-0.037211
data_4096,4096,20,6140.658191,0,0.195479
data_524288,524288,39,843447.581619,8,-0.583853
data_65536,65536,20,99450.964655,6,-0.467272
data_8192,8192,20,12525.951278,1,-0.036212
