x,y,rho
8.874915123,41.057075500,511.830902100
9.414788246,43.194221497,1017.990295410
10.992991447,44.240253448,640.478698730
9.375373840,42.735569000,1006.367126465
8.714147568,41.617855072,655.568908691
8.056430817,44.988647461,368.603881836
9.253048897,42.599800110,976.561828613
8.509905815,43.815364838,747.398254395
8.148802757,42.825134277,702.730651855
8.867234230,43.424774170,902.650634766
9.251895905,41.857242584,813.998718262
9.734519005,43.466205597,1006.318176270
9.829217911,43.340343475,1019.668457031
9.128378868,42.675132751,965.306884766
9.090240479,42.678321838,958.672912598
8.949554443,41.311592102,602.850036621
9.940127373,42.636093140,1006.440185547
8.132502556,43.500656128,674.850891113
8.855401993,43.089817047,922.846923828
10.491791725,43.166854858,942.656494141
10.902101517,41.803047180,659.834045410
10.165042877,42.353061676,938.146240234
8.891903877,42.459022522,889.309753418
9.451148033,43.094039917,1025.331298828
8.597551346,43.938701630,746.722290039
10.228363037,41.501628876,694.295959473
11.250952721,44.933761597,408.102630615
10.941480637,42.857948303,818.236145020
8.691947937,44.092323303,735.085327148
9.359523773,44.260318756,800.922485352
9.970975876,44.014511108,882.086975098
10.119067192,43.744445801,933.769226074
9.773200989,44.823741913,627.139343262
9.889613152,43.439861298,1005.519470215
11.645851135,41.690113068,438.613586426
8.492216110,44.007270813,703.853454590
8.589577675,44.981494904,467.601593018
9.349081993,42.290416718,935.868591309
11.685643196,44.518386841,400.697509766
11.630259514,43.943916321,514.513549805
8.901474953,44.947937012,525.027770996
9.494697571,43.840328217,927.438049316
10.709952354,42.882862091,887.566894531
10.376780510,43.960079193,846.830993652
10.139126778,41.938472748,840.475524902
10.060938835,44.364257812,770.904968262
9.068133354,42.888237000,968.946899414
9.327547073,44.887138367,590.342285156
10.434995651,43.445335388,932.202514648
8.992784500,43.577121735,910.024169922
9.088368416,43.069702148,974.832214355
9.126854897,43.714305878,910.979797363
10.339291573,42.829574585,971.676574707
10.158707619,41.944812775,840.017700195
8.271443367,43.477264404,723.316772461
9.929374695,43.672904968,965.146179199
12.145845413,43.982353210,358.455474854
8.849878311,44.154888153,754.184570312
8.446793556,42.576290131,783.054077148
9.694458961,44.751216888,652.631225586
9.017946243,42.211433411,869.657531738
9.664248466,42.374393463,972.329406738
10.889336586,41.957942963,700.833007812
8.615232468,42.600051880,835.934631348
9.264668465,44.967407227,558.308410645
10.712121964,43.125423431,888.502685547
8.537264824,43.882236481,742.166381836
8.762485504,41.493103027,628.576965332
10.950730324,43.354816437,805.478515625
10.683559418,43.356601715,882.552429199
10.619531631,42.386848450,857.985351562
8.728458405,43.719467163,824.134521484
8.959291458,42.348323822,885.424743652
9.307168007,43.055351257,1010.430664062
9.408706665,41.662921906,768.352661133
9.119082451,40.814468384,461.149047852
10.387931824,41.435813904,652.560852051
8.658317566,43.090038300,869.772521973
9.023138046,44.580886841,658.880920410
8.469843864,43.304924011,802.546569824
9.723418236,41.869781494,844.603149414
10.285977364,42.866325378,983.328247070
10.534491539,43.861377716,839.285034180
11.925936699,44.374401093,365.006652832
9.393519402,42.798492432,1013.213684082
10.862360001,43.693138123,789.807373047
10.402832031,41.420917511,645.653442383
9.738374710,42.299842834,957.309936523
10.042625427,42.939723969,1020.004089355
10.672879219,43.355091095,885.512634277
10.549028397,42.571453094,902.572937012
8.818254471,42.627822876,893.589294434
9.745680809,43.417026520,1012.739929199
12.022009850,42.995616913,453.043426514
8.806756020,42.691890717,896.951904297
9.299104691,43.519355774,970.890563965
8.221903801,43.101135254,730.474121094
9.919207573,43.270053864,1021.606567383
9.165384293,42.799949646,982.185119629
8.338640213,42.544551849,745.598693848
9.219839096,43.453922272,968.990539551
8.606518745,43.819072723,773.434509277
11.257184982,40.967887878,369.100433350
10.188959122,43.714782715,931.063720703
9.125264168,42.640602112,961.066040039
9.629819870,42.740081787,1024.068481445
9.453687668,41.361869812,669.591003418
10.915032387,44.117492676,689.783752441
8.949336052,41.571449280,684.726379395
10.283765793,42.462085724,940.065612793
9.904653549,42.718544006,1017.689331055
10.454239845,43.732624054,882.550598145
9.037103653,41.654510498,723.984802246
8.179762840,43.648254395,673.037231445
8.573841095,42.531055450,816.129455566
9.166386604,42.985305786,989.310363770
7.826420784,43.226650238,588.986572266
10.286591530,43.126296997,985.460876465
9.451814651,43.135272980,1024.126953125
10.161746979,40.265281677,306.890655518
11.718612671,43.427967072,542.071777344
9.110292435,42.646919250,959.079284668
10.256443024,42.921768188,990.574279785
7.732016087,45.102367401,285.222534180
9.652159691,44.058044434,877.631225586
9.070651054,44.574249268,667.696899414
10.049044609,43.646717072,960.564208984
8.717447281,44.249019623,700.755798340
10.452519417,44.339717865,729.530578613
9.134613037,42.556846619,952.345397949
12.066617012,41.977855682,368.638519287
9.626750946,44.174766541,842.965270996
9.860425949,43.620826721,978.548583984
9.363251686,43.407928467,993.721984863
8.456173897,44.696002960,522.221557617
9.644536972,42.357696533,968.677551270
10.429083824,42.577152252,929.830871582
8.428442001,41.691154480,611.187194824
10.456474304,42.878299713,950.276306152
9.628998756,44.115615845,860.566284180
8.635874748,42.307193756,800.301208496
9.377820969,43.132225037,1017.033752441
9.720529556,42.750984192,1026.245605469
9.701074600,42.930568695,1036.522705078
9.043096542,42.224880219,877.229675293
10.037217140,42.146957397,906.629272461
8.605345726,42.725582123,844.421447754
9.605033875,45.294597626,465.211364746
9.058000565,43.981132507,839.078613281
10.509888649,41.848926544,758.381103516
10.535953522,41.853992462,754.776916504
7.103528500,43.644191742,335.178161621
8.006810188,43.488807678,633.647399902
9.078689575,44.697425842,628.857177734
10.831210136,42.584487915,829.841003418
9.074863434,41.823795319,780.297851562
9.321778297,42.757518768,1002.023620605
9.398007393,43.194576263,1016.299865723
10.341221809,43.387527466,957.290222168
8.998557091,41.600082397,701.333190918
11.127232552,42.348423004,708.335510254
9.110406876,42.516685486,942.454650879
7.919631004,42.559898376,607.327575684
9.283044815,43.658229828,945.264892578
10.461157799,43.041645050,952.417541504
10.694549561,43.377838135,877.642456055
9.747018814,43.198802948,1032.637084961
9.572047234,42.643024445,1011.869201660
9.494967461,41.909862518,850.573913574
10.043142319,42.044750214,879.701110840
10.604331970,42.788414001,910.356628418
9.812195778,43.531711578,995.371459961
10.406015396,41.467250824,660.143371582
9.555797577,43.918052673,911.910217285
8.064595222,43.425155640,658.990112305
7.507136345,42.015365601,416.333312988
9.801331520,41.381156921,681.817810059
8.777190208,41.566040039,652.909729004
11.410835266,43.202102661,660.647521973
10.329991341,42.815196991,972.532470703
9.409269333,41.421398163,687.549011230
9.470863342,42.276382446,943.650512695
10.620624542,44.178974152,743.418273926
11.229279518,43.890426636,647.215515137
9.164047241,41.921977997,821.354064941
10.529363632,43.394165039,917.263244629
7.994162560,43.393356323,637.454589844
10.577220917,43.096797943,924.519714355
9.577647209,42.230224609,939.207275391
8.316165924,43.838172913,686.495605469
9.453586578,42.804405212,1019.219787598
11.495422363,43.722373962,588.049560547
10.133525848,43.179935455,1006.630737305
11.282695770,44.757461548,444.114776611
10.692205429,43.620098114,847.498535156
7.668097496,43.161594391,536.362548828
9.632594109,43.131828308,1034.618896484
10.705746651,40.298194885,278.793701172
9.193388939,43.307777405,980.931396484
9.295855522,41.620967865,745.334472656
10.631664276,43.314746857,899.683654785
8.791596413,43.352691650,891.255798340
10.584286690,43.043167114,923.437194824
10.563265800,43.116134644,927.505798340
9.367471695,41.878452301,832.058105469
9.676770210,43.232166290,1030.341186523
10.638533592,42.922767639,908.097961426
10.220116615,42.073261261,866.892395020
8.980072021,42.927482605,951.859313965
8.708072662,43.858119965,792.116760254
10.225831032,43.316970825,983.945678711
10.101604462,45.058917999,533.546081543
9.293836594,40.836433411,480.818603516
9.962000847,42.987270355,1028.203857422
9.245182037,42.059043884,869.105834961
9.323511124,43.219211578,1006.351135254
9.259883881,45.450328827,402.457366943
8.802196503,42.244754791,830.698120117
7.474080563,43.289356232,466.895019531
7.746294022,42.498416901,543.652587891
9.487030029,42.328144073,955.725280762
11.501573563,44.032268524,539.734191895
11.081837654,42.155452728,689.346374512
10.891294479,43.533874512,804.689819336
10.534107208,44.067310333,790.377929688
8.853937149,42.613555908,900.823913574
10.625296593,40.382255554,306.432281494
11.276028633,43.591007233,676.503112793
9.716997147,43.258380890,1028.772338867
8.732765198,42.687931061,877.213562012
10.862984657,44.335895538,647.914428711
12.458925247,42.963947296,320.860412598
9.104147911,42.523639679,942.345886230
8.744658470,42.960018158,894.437133789
10.145433426,43.003631592,1008.837890625
10.859047890,42.803657532,840.720886230
9.415249825,42.456604004,974.160461426
8.130065918,41.470104218,485.249694824
8.583542824,44.339302063,646.471618652
10.657960892,44.412837982,670.589172363
8.430489540,41.069248199,446.090423584
9.102644920,43.213691711,972.039001465
10.261390686,44.085845947,832.120849609
10.046980858,44.780540466,632.134094238
9.540095329,42.124794006,912.002868652
8.081482887,42.148902893,609.544677734
10.004818916,42.149154663,910.015380859
10.699442863,44.450199127,651.578857422
7.393114090,43.901924133,394.215942383
7.523096561,43.439373016,475.032165527
10.987571716,43.102729797,806.625488281
8.483011246,42.452442169,779.264282227
9.501055717,42.855628967,1025.926269531
9.559803963,42.927989960,1032.406860352
9.976181030,41.829299927,822.960815430
9.520681381,44.556133270,715.600341797
9.378055573,42.594036102,991.180786133
10.840898514,40.478687286,309.146575928
10.944079399,42.405967712,772.940979004
9.926629066,43.134193420,1028.932983398
10.705168724,42.770278931,882.645812988
9.084674835,44.335720062,744.429260254
7.398527145,43.058208466,447.873413086
8.414774895,42.276298523,732.334655762
11.773957253,42.993278503,536.457153320
9.957770348,41.256309509,632.546264648
9.033656120,43.234432220,957.186279297
10.117458344,43.654758453,951.709472656
9.771328926,43.564876556,990.858093262
10.216483116,41.208133698,596.917297363
9.799706459,43.805774689,942.371398926
10.352581024,42.674015045,956.402404785
8.957074165,41.919559479,787.065612793
9.631647110,44.170951843,844.237426758
7.810896873,42.377983093,553.498046875
8.622898102,43.822830200,777.103942871
9.208391190,42.567234039,965.751159668
9.545751572,43.483264923,999.014709473
9.370311737,39.991729736,243.811050415
10.306013107,43.476917267,952.786560059
9.543159485,41.953838348,865.799377441
10.114480972,43.417110443,988.783203125
9.292668343,42.821140289,1002.791137695
8.832544327,42.859283447,914.612792969
8.212271690,43.455192566,706.020263672
8.818332672,43.275978088,904.556091309
8.356738091,42.447814941,739.936279297
9.652211189,41.377174377,681.175170898
9.877848625,42.658725739,1012.876281738
8.020344734,41.734630585,515.100646973
10.367820740,43.933429718,854.872558594
9.630792618,43.442634583,1008.213867188
9.986544609,43.367496490,1007.561889648
11.048685074,41.530876160,554.577575684
10.439161301,42.655864716,937.091308594
9.538441658,42.735622406,1019.790039062
9.387553215,41.811676025,813.687805176
9.946040154,44.708816528,662.455261230
9.706567764,43.036487579,1037.792358398
9.075401306,42.920398712,971.437561035
10.228867531,42.667629242,977.158935547
9.308897018,43.441139221,983.105895996
8.844696045,43.290370941,910.103210449
10.583022118,44.397823334,689.295227051
9.672318459,44.405471802,770.737609863
10.797110558,42.041660309,743.790039062
8.544762611,42.732910156,826.922363281
10.791636467,42.965587616,866.791320801
9.162043571,44.590114594,674.249816895
10.049605370,40.717277527,445.043792725
10.079861641,43.557914734,972.834045410
9.988309860,43.487586975,992.312561035
9.695425034,41.719478607,797.468627930
9.391996384,42.092258453,893.481628418
8.829959869,41.774803162,723.075988770
10.215189934,43.135768890,996.876892090
9.314535141,42.388534546,951.492736816
