dataset,n_points,n_clusters,time_ms,n_negative,min_rho
data_1024,1024,20,1562.397396,0,0.999960
data_1048576,1048576,700,1850704.207300,0,9.091487
data_131072,131072,155,208833.159209,0,1.603043
data_16384,16384,36,28094.220929,0,0.999918
data_2048,2048,22,3570.778978,0,0.999963
data_262144,262144,1086,448454.410096,0,2.744107
data_32768,32768,54,50215.965690,0,1.000308
data_4096,4096,25,6262.251706,0,0.999946
data_524288,524288,893,916495.076013,0,5.994707
data_65536,65536,100,108065.056798,0,1.011026
data_8192,8192,24,13652.754994,0,0.999925
