x,y,rho
8.874915123,41.057075500,7.000000000
9.414788246,43.194221497,32.500000000
10.992991447,44.240253448,13.500000000
9.375373840,42.735569000,30.500000000
8.714147568,41.617855072,15.000000000
8.056430817,44.988647461,8.000000000
9.253048897,42.599800110,29.000000000
8.509905815,43.815364838,22.000000000
8.148802757,42.825134277,18.000000000
8.867234230,43.424774170,23.500000000
9.251895905,41.857242584,21.500000000
9.734519005,43.466205597,32.500000000
9.829217911,43.340343475,33.000000000
9.128378868,42.675132751,28.000000000
9.090240479,42.678321838,28.500000000
8.949554443,41.311592102,13.500000000
9.940127373,42.636093140,30.000000000
8.132502556,43.500656128,18.000000000
8.855401993,43.089817047,25.000000000
10.491791725,43.166854858,23.500000000
10.902101517,41.803047180,12.000000000
10.165042877,42.353061676,24.000000000
8.891903877,42.459022522,24.500000000
9.451148033,43.094039917,32.500000000
8.597551346,43.938701630,22.500000000
10.228363037,41.501628876,14.500000000
11.250952721,44.933761597,6.000000000
10.941480637,42.857948303,16.500000000
8.691947937,44.092323303,22.000000000
9.359523773,44.260318756,21.500000000
9.970975876,44.014511108,24.500000000
10.119067192,43.744445801,26.500000000
9.773200989,44.823741913,13.000000000
9.889613152,43.439861298,30.000000000
11.645851135,41.690113068,5.000000000
8.492216110,44.007270813,20.000000000
8.589577675,44.981494904,10.000000000
9.349081993,42.290416718,26.500000000
11.685643196,44.518386841,5.500000000
11.630259514,43.943916321,9.000000000
8.901474953,44.947937012,11.000000000
9.494697571,43.840328217,28.000000000
10.709952354,42.882862091,22.000000000
10.376780510,43.960079193,19.500000000
10.139126778,41.938472748,21.000000000
10.060938835,44.364257812,17.500000000
9.068133354,42.888237000,29.000000000
9.327547073,44.887138367,13.000000000
10.434995651,43.445335388,21.000000000
8.992784500,43.577121735,28.500000000
9.088368416,43.069702148,27.500000000
9.126854897,43.714305878,28.500000000
10.339291573,42.829574585,26.000000000
10.158707619,41.944812775,20.500000000
8.271443367,43.477264404,18.500000000
9.929374695,43.672904968,29.500000000
12.145845413,43.982353210,4.500000000
8.849878311,44.154888153,20.000000000
8.446793556,42.576290131,20.500000000
9.694458961,44.751216888,14.000000000
9.017946243,42.211433411,22.500000000
9.664248466,42.374393463,29.000000000
10.889336586,41.957942963,13.000000000
8.615232468,42.600051880,22.500000000
9.264668465,44.967407227,12.000000000
10.712121964,43.125423431,20.000000000
8.537264824,43.882236481,22.500000000
8.762485504,41.493103027,14.000000000
10.950730324,43.354816437,16.000000000
10.683559418,43.356601715,18.500000000
10.619531631,42.386848450,21.500000000
8.728458405,43.719467163,24.000000000
8.959291458,42.348323822,23.500000000
9.307168007,43.055351257,32.000000000
9.408706665,41.662921906,20.000000000
9.119082451,40.814468384,7.000000000
10.387931824,41.435813904,12.000000000
8.658317566,43.090038300,23.000000000
9.023138046,44.580886841,16.500000000
8.469843864,43.304924011,20.000000000
9.723418236,41.869781494,22.500000000
10.285977364,42.866325378,28.000000000
10.534491539,43.861377716,19.000000000
11.925936699,44.374401093,5.000000000
9.393519402,42.798492432,31.500000000
10.862360001,43.693138123,16.000000000
10.402832031,41.420917511,12.000000000
9.738374710,42.299842834,28.000000000
10.042625427,42.939723969,29.500000000
10.672879219,43.355091095,18.500000000
10.549028397,42.571453094,23.000000000
8.818254471,42.627822876,25.000000000
20.535654068,9.355788231,29.500000000
22.811985016,8.934379578,5.000000000
19.596729279,8.630655289,28.000000000
20.089078903,9.458118439,31.000000000
19.011878967,9.039898872,18.500000000
20.709180832,9.208817482,29.000000000
19.955358505,8.738715172,33.500000000
19.128614426,8.483316422,21.000000000
20.009813309,9.392686844,30.000000000
19.396492004,9.757834435,21.500000000
22.047159195,6.906651497,4.000000000
20.978933334,9.653544426,24.000000000
19.915237427,8.579364777,32.000000000
20.419794083,8.678845406,34.000000000
20.243661880,7.300632954,17.000000000
