dataset,n_points,n_clusters,time_ms,n_negative,min_rho
data_1024,1024,20,1.306481,0,1.000000
data_1048576,1048576,2114,301397.477795,0,2.000000
data_131072,131072,20,5256.412916,0,1.000000
data_16384,16384,20,71.150406,0,1.000000
data_2048,2048,20,3.188751,0,1.000000
data_262144,262144,20,20849.804692,0,1.000000
data_32768,32768,20,288.367639,0,1.000000
data_4096,4096,20,7.721935,0,1.000000
data_524288,524288,124,78802.694260,0,1.000000
data_65536,65536,20,1227.075310,0,1.000000
data_8192,8192,20,21.951447,0,1.000000
