x,y,rho
8.874915123,41.057075500,199.473815918
9.414788246,43.194221497,822.187072754
10.992991447,44.240253448,326.872558594
9.375373840,42.735569000,793.802246094
8.714147568,41.617855072,346.568847656
8.056430817,44.988647461,98.961219788
9.253048897,42.599800110,744.259826660
8.509905815,43.815364838,425.864410400
8.148802757,42.825134277,383.009674072
8.867234230,43.424774170,632.870178223
9.251895905,41.857242584,525.920471191
9.734519005,43.466205597,791.348022461
9.829217911,43.340343475,816.873962402
9.128378868,42.675132751,730.760314941
9.090240479,42.678321838,722.333862305
8.949554443,41.311592102,293.061218262
9.940127373,42.636093140,802.878662109
8.132502556,43.500656128,346.050994873
8.855401993,43.089817047,665.705078125
10.491791725,43.166854858,699.533935547
10.902101517,41.803047180,336.329498291
10.165042877,42.353061676,692.280456543
8.891903877,42.459022522,620.181518555
9.451148033,43.094039917,825.522766113
8.597551346,43.938701630,433.218292236
10.228363037,41.501628876,372.690979004
11.250952721,44.933761597,126.050796509
10.941480637,42.857948303,528.245361328
8.691947937,44.092323303,421.314117432
9.359523773,44.260318756,505.837982178
9.970975876,44.014511108,614.204833984
10.119067192,43.744445801,683.009277344
9.773200989,44.823741913,309.019927979
9.889613152,43.439861298,792.711853027
11.645851135,41.690113068,136.961791992
8.492216110,44.007270813,375.464630127
8.589577675,44.981494904,167.093765259
9.349081993,42.290416718,692.103576660
11.685643196,44.518386841,110.159980774
11.630259514,43.943916321,201.834411621
8.901474953,44.947937012,211.543655396
9.494697571,43.840328217,674.178466797
10.709952354,42.882862091,621.423522949
10.376780510,43.960079193,564.515808105
10.139126778,41.938472748,563.903686523
10.060938835,44.364257812,470.218078613
9.068133354,42.888237000,733.606994629
9.327547073,44.887138367,276.586090088
10.434995651,43.445335388,678.396972656
8.992784500,43.577121735,646.812622070
9.088368416,43.069702148,748.235229492
9.126854897,43.714305878,651.117919922
10.339291573,42.829574585,743.056640625
10.158707619,41.944812775,563.583923340
8.271443367,43.477264404,395.737335205
9.929374695,43.672904968,728.678161621
12.145845413,43.982353210,90.074478149
8.849878311,44.154888153,437.317901611
8.446793556,42.576290131,487.238342285
9.694458961,44.751216888,330.857116699
9.017946243,42.211433411,595.986328125
9.664248466,42.374393463,742.879516602
10.889336586,41.957942963,381.676422119
8.615232468,42.600051880,549.049255371
9.264668465,44.967407227,239.399368286
10.712121964,43.125423431,620.980224609
8.537264824,43.882236481,425.887878418
8.762485504,41.493103027,318.651489258
10.950730324,43.354816437,508.172515869
10.683559418,43.356601715,612.953918457
10.619531631,42.386848450,585.754150391
8.728458405,43.719467163,528.581481934
8.959291458,42.348323822,612.188476562
9.307168007,43.055351257,804.794433594
9.408706665,41.662921906,470.438842773
9.119082451,40.814468384,161.035736084
10.387931824,41.435813904,328.648223877
8.658317566,43.090038300,592.531677246
9.023138046,44.580886841,337.525573730
8.469843864,43.304924011,498.388427734
9.723418236,41.869781494,567.101745605
10.285977364,42.866325378,762.892395020
10.534491539,43.861377716,557.325988770
11.925936699,44.374401093,89.493270874
9.393519402,42.798492432,805.904541016
10.862360001,43.693138123,493.588836670
10.402832031,41.420917511,322.522644043
9.738374710,42.299842834,727.646179199
10.042625427,42.939723969,810.110656738
10.672879219,43.355091095,618.991088867
10.549028397,42.571453094,641.216857910
8.818254471,42.627822876,629.831420898
9.745680809,43.417026520,803.630493164
12.022009850,42.995616913,151.106323242
8.806756020,42.691890717,638.781188965
9.299104691,43.519355774,749.833801270
8.221903801,43.101135254,411.191589355
9.919207573,43.270053864,815.511535645
9.165384293,42.799949646,752.738037109
8.338640213,42.544551849,438.959991455
9.219839096,43.453922272,740.840148926
8.606518745,43.819072723,465.801055908
11.257184982,40.967887878,94.526435852
10.188959122,43.714782715,676.020996094
9.125264168,42.640602112,723.602966309
9.629819870,42.740081787,825.976623535
9.453687668,41.361869812,356.931396484
10.915032387,44.117492676,385.480987549
8.949336052,41.571449280,371.941680908
10.283765793,42.462085724,698.197387695
9.904653549,42.718544006,814.210693359
10.454239845,43.732624054,611.712158203
9.037103653,41.654510498,417.841888428
8.179762840,43.648254395,346.233947754
8.573841095,42.531055450,525.830505371
9.166386604,42.985305786,768.265014648
7.826420784,43.226650238,261.602386475
10.286591530,43.126296997,764.398925781
9.451814651,43.135272980,826.637451172
10.161746979,40.265281677,58.095180511
11.718612671,43.427967072,230.994247437
9.110292435,42.646919250,721.478515625
10.256443024,42.921768188,770.506652832
7.732016087,45.102367401,56.272598267
9.652159691,44.058044434,607.353515625
9.070651054,44.574249268,344.829193115
10.049044609,43.646717072,721.080139160
8.717447281,44.249019623,377.685729980
10.452519417,44.339717865,426.207855225
9.134613037,42.556846619,714.002136230
12.066617012,41.977855682,92.989486694
9.626750946,44.174766541,558.260131836
9.860425949,43.620826721,746.981750488
9.363251686,43.407928467,783.266601562
8.456173897,44.696002960,205.552719116
9.644536972,42.357696533,737.585144043
10.429083824,42.577152252,684.900268555
8.428442001,41.691154480,299.901184082
10.456474304,42.878299713,714.773254395
9.628998756,44.115615845,584.879211426
8.635874748,42.307193756,501.597015381
9.377820969,43.132225037,813.917785645
9.720529556,42.750984192,824.317687988
9.701074600,42.930568695,833.509643555
9.043096542,42.224880219,604.971374512
10.037217140,42.146957397,654.235656738
8.605345726,42.725582123,560.588562012
9.605033875,45.294597626,170.842437744
9.058000565,43.981132507,557.423217773
10.509888649,41.848926544,446.029388428
10.535953522,41.853992462,443.071258545
7.103528500,43.644191742,76.241729736
8.006810188,43.488807678,307.814636230
9.078689575,44.697425842,307.557647705
10.831210136,42.584487915,546.312377930
9.074863434,41.823795319,485.113616943
9.321778297,42.757518768,786.653320312
9.398007393,43.194576263,818.301513672
10.341221809,43.387527466,722.741333008
8.998557091,41.600082397,392.019073486
11.127232552,42.348423004,398.442687988
9.110406876,42.516685486,695.886535645
7.919631004,42.559898376,294.690917969
9.283044815,43.658229828,708.517272949
10.461157799,43.041645050,717.184265137
10.694549561,43.377838135,607.357604980
9.747018814,43.198802948,832.847229004
9.572047234,42.643024445,801.008605957
9.494967461,41.909862518,572.265319824
10.043142319,42.044750214,613.687438965
10.604331970,42.788414001,651.905639648
9.812195778,43.531711578,776.281433105
10.406015396,41.467250824,337.393981934
9.555797577,43.918052673,656.148681641
8.064595222,43.425155640,329.100341797
7.507136345,42.015365601,127.850257874
9.801331520,41.381156921,365.035339355
8.777190208,41.566040039,342.579467773
11.410835266,43.202102661,346.566650391
10.329991341,42.815196991,747.698852539
9.409269333,41.421398163,375.490844727
9.470863342,42.276382446,706.475952148
10.620624542,44.178974152,441.949096680
11.229279518,43.890426636,336.784667969
9.164047241,41.921977997,538.098693848
10.529363632,43.394165039,659.710876465
7.994162560,43.393356323,312.574462891
10.577220917,43.096797943,671.792785645
9.577647209,42.230224609,701.565002441
8.316165924,43.838172913,360.086120605
9.453586578,42.804405212,815.052062988
11.495422363,43.722373962,274.570159912
10.133525848,43.179935455,792.578247070
11.282695770,44.757461548,145.673461914
10.692205429,43.620098114,567.885620117
7.668097496,43.161594391,213.929763794
9.632594109,43.131828308,839.315979004
10.705746651,40.298194885,45.174972534
9.193388939,43.307777405,766.577575684
9.295855522,41.620967865,435.415069580
10.631664276,43.314746857,641.202514648
8.791596413,43.352691650,619.903930664
10.584286690,43.043167114,668.877075195
10.563265800,43.116134644,676.087524414
9.367471695,41.878452301,548.933044434
9.676770210,43.232166290,832.888244629
10.638533592,42.922767639,648.245605469
10.220116615,42.073261261,597.849487305
8.980072021,42.927482605,712.349182129
8.708072662,43.858119965,490.414916992
10.225831032,43.316970825,761.421447754
10.101604462,45.058917999,218.640991211
9.293836594,40.836433411,180.216430664
9.962000847,42.987270355,822.836486816
9.245182037,42.059043884,596.539733887
9.323511124,43.219211578,799.373840332
9.259883881,45.450328827,124.658882141
8.802196503,42.244754791,544.430358887
7.474080563,43.289356232,157.479873657
7.746294022,42.498416901,229.881088257
9.487030029,42.328144073,721.511413574
11.501573563,44.032268524,226.247665405
11.081837654,42.155452728,370.986663818
10.891294479,43.533874512,513.963562012
10.534107208,44.067310333,495.615356445
8.853937149,42.613555908,643.843078613
10.625296593,40.382255554,60.694602966
11.276028633,43.591007233,365.479644775
9.716997147,43.258380890,829.895690918
8.732765198,42.687931061,601.852478027
10.862984657,44.335895538,334.711517334
12.458925247,42.963947296,71.267242432
9.104147911,42.523639679,695.805236816
8.744658470,42.960018158,626.417907715
10.145433426,43.003631592,797.054077148
10.859047890,42.803657532,563.208557129
9.415249825,42.456604004,747.469299316
8.130065918,41.470104218,182.195129395
8.583542824,44.339302063,316.699249268
10.657960892,44.412837982,362.320526123
8.430489540,41.069248199,153.841125488
9.102644920,43.213691711,744.463073730
10.261390686,44.085845947,554.018371582
10.046980858,44.780540466,315.702209473
9.540095329,42.124794006,660.185302734
8.081482887,42.148902893,301.846343994
10.004818916,42.149154663,658.303833008
10.699442863,44.450199127,336.050628662
7.393114090,43.901924133,105.668998718
7.523096561,43.439373016,163.112533569
10.987571716,43.102729797,519.300781250
8.483011246,42.452442169,484.875274658
9.501055717,42.855628967,822.418212891
9.559803963,42.927989960,834.367309570
9.976181030,41.829299927,541.105773926
9.520681381,44.556133270,404.007629395
9.378055573,42.594036102,762.273437500
10.840898514,40.478687286,62.461742401
10.944079399,42.405967712,472.185821533
9.926629066,43.134193420,824.379150391
10.705168724,42.770278931,617.934570312
9.084674835,44.335720062,431.654663086
7.398527145,43.058208466,148.133819580
8.414774895,42.276298523,427.737518311
11.773957253,42.993278503,220.083892822
9.957770348,41.256309509,308.986450195
9.033656120,43.234432220,715.639648438
10.117458344,43.654758453,705.239990234
9.771328926,43.564876556,770.269531250
10.216483116,41.208133698,274.752166748
9.799706459,43.805774689,697.501586914
10.352581024,42.674015045,726.065124512
8.957074165,41.919559479,484.143005371
9.631647110,44.170951843,560.578857422
7.810896873,42.377983093,245.140502930
8.622898102,43.822830200,470.690185547
9.208391190,42.567234039,731.605102539
9.545751572,43.483264923,782.425292969
9.370311737,39.991729736,32.248157501
10.306013107,43.476917267,712.496765137
9.543159485,41.953838348,596.810913086
10.114480972,43.417110443,763.064697266
9.292668343,42.821140289,791.445251465
8.832544327,42.859283447,659.131286621
8.212271690,43.455192566,377.273223877
8.818332672,43.275978088,638.988098145
8.356738091,42.447814941,434.137084961
9.652211189,41.377174377,365.056549072
9.877848625,42.658725739,804.642395020
8.020344734,41.734630585,208.842102051
10.367820740,43.933429718,574.192871094
9.630792618,43.442634583,796.330505371
9.986544609,43.367496490,789.687011719
11.048685074,41.530876160,228.253814697
10.439161301,42.655864716,697.433715820
9.538441658,42.735622406,813.456176758
9.387553215,41.811676025,521.347778320
9.946040154,44.708816528,346.587615967
9.706567764,43.036487579,838.701965332
9.075401306,42.920398712,737.509643555
10.228867531,42.667629242,752.405822754
9.308897018,43.441139221,765.830322266
8.844696045,43.290370941,646.128479004
10.583022118,44.397823334,382.041320801
9.672318459,44.405471802,464.993560791
10.797110558,42.041660309,433.060882568
8.544762611,42.732910156,536.399414062
10.791636467,42.965587616,593.248352051
9.162043571,44.590114594,355.980529785
10.049605370,40.717277527,146.660476685
10.079861641,43.557914734,740.586425781
9.988309860,43.487586975,774.244506836
9.695425034,41.719478607,503.861968994
9.391996384,42.092258453,633.433715820
8.829959869,41.774803162,418.284393311
10.215189934,43.135768890,784.131469727
9.314535141,42.388534546,710.091308594
9.739277840,44.117069244,582.776000977
7.758484840,43.414749146,229.297836304
9.216988564,41.153285980,267.322845459
7.816997528,42.125091553,211.831176758
9.982210159,43.430934906,784.313415527
8.823719025,44.054893494,462.515838623
11.185684204,43.433959961,420.940979004
9.171298027,44.162292480,509.618194580
10.518096924,43.905281067,546.978454590
9.106237411,40.203319550,54.479938507
11.879491806,41.426994324,76.040802002
9.726932526,45.418617249,142.089828491
10.093277931,43.987121582,617.019958496
8.260304451,41.260208130,170.403656006
9.229997635,44.128623962,534.123413086
9.416451454,42.243236542,691.744934082
9.960667610,44.119808197,574.315612793
8.317760468,41.827331543,300.459625244
8.974031448,44.132511139,480.950225830
9.997522354,45.170024872,194.520126343
10.699146271,43.002777100,630.777465820
11.027778625,43.249370575,492.420959473
9.057779312,43.717849731,632.275878906
9.066373825,42.747474670,726.275634766
11.090483665,42.936592102,480.286071777
8.959559441,42.573535919,666.877685547
10.784491539,42.485332489,548.537841797
9.375829697,42.527580261,752.756225586
9.946626663,42.652381897,805.420959473
8.160864830,42.150691986,326.324432373
8.829912186,44.281192780,394.008117676
10.575374603,43.625133514,602.323852539
9.257342339,42.222080231,653.300903320
9.255183220,41.985992432,570.657409668
12.259901047,40.792552948,14.924230576
10.326709747,41.753322601,458.034790039
9.658357620,42.049869537,639.752319336
8.585071564,41.897678375,389.528411865
11.517686844,42.904884338,303.926696777
8.996998787,43.593658447,646.077087402
9.773050308,43.757907867,713.043029785
7.938444138,43.341476440,296.460632324
10.535395622,41.376274109,282.174774170
10.210896492,44.734054565,320.214782715
9.747842789,43.859279633,677.042785645
10.433271408,42.330368042,627.235900879
9.802467346,41.470878601,406.683471680
9.311397552,43.303562164,791.672119141
10.485801697,43.062484741,707.439941406
