dataset,n_points,n_clusters,time_ms,n_negative,min_rho
data_1024,1024,20,4.025842,0,1.000000
data_1048576,1048576,2061,579208.883406,0,2.582289
data_131072,131072,20,10303.474317,0,1.000000
data_16384,16384,20,150.410053,0,1.000000
data_2048,2048,20,6.171436,0,1.000000
data_262144,262144,54,37671.177236,0,1.000000
data_32768,32768,20,582.580770,0,1.000000
data_4096,4096,20,15.704312,0,1.000000
data_524288,524288,1375,150375.020154,0,1.000000
data_65536,65536,20,2351.586625,0,1.000000
data_8192,8192,20,45.115825,0,1.000000
