x,y,rho
8.874915123,41.057075500,134.177871704
9.414788246,43.194221497,495.867401123
10.992991447,44.240253448,207.625564575
9.375373840,42.735569000,483.511199951
8.714147568,41.617855072,217.379455566
8.056430817,44.988647461,66.156433105
9.253048897,42.599800110,456.980682373
8.509905815,43.815364838,273.549926758
8.148802757,42.825134277,245.597549438
8.867234230,43.424774170,396.992431641
9.251895905,41.857242584,326.569061279
9.734519005,43.466205597,484.864105225
9.829217911,43.340343475,495.875915527
9.128378868,42.675132751,447.652954102
9.090240479,42.678321838,442.031555176
8.949554443,41.311592102,185.407943726
9.940127373,42.636093140,484.760711670
8.132502556,43.500656128,221.470825195
8.855401993,43.089817047,413.365814209
10.491791725,43.166854858,428.220886230
10.902101517,41.803047180,217.351730347
10.165042877,42.353061676,428.545715332
8.891903877,42.459022522,384.323699951
9.451148033,43.094039917,501.865509033
8.597551346,43.938701630,273.575927734
10.228363037,41.501628876,241.458023071
11.250952721,44.933761597,80.470153809
10.941480637,42.857948303,330.832946777
8.691947937,44.092323303,265.667114258
9.359523773,44.260318756,315.853546143
9.970975876,44.014511108,380.411254883
10.119067192,43.744445801,421.633239746
9.773200989,44.823741913,197.065490723
9.889613152,43.439861298,483.243530273
11.645851135,41.690113068,91.096092224
8.492216110,44.007270813,242.833145142
8.589577675,44.981494904,107.623260498
9.349081993,42.290416718,422.281799316
11.685643196,44.518386841,76.098716736
11.630259514,43.943916321,133.321899414
8.901474953,44.947937012,136.037948608
9.494697571,43.840328217,418.240234375
10.709952354,42.882862091,384.697692871
10.376780510,43.960079193,352.372894287
10.139126778,41.938472748,350.299865723
10.060938835,44.364257812,295.934326172
9.068133354,42.888237000,451.837890625
9.327547073,44.887138367,172.906997681
10.434995651,43.445335388,419.146484375
8.992784500,43.577121735,403.638061523
9.088368416,43.069702148,457.834014893
9.126854897,43.714305878,404.670410156
10.339291573,42.829574585,454.349853516
10.158707619,41.944812775,350.001007080
8.271443367,43.477264404,255.339874268
9.929374695,43.672904968,448.562316895
