x0,x1,weight
-51.86,-64.09,1.0
171.87,-154.07,1.0
-108.29,15.32,1.0
175.75,-161.11,1.0
-111.26,129.91,1.0
165.02,-115.51,1.0
-53.66,61.4,1.0
-139.17,188.11,1.0
-110.05,32.22,1.0
175.94,-159.84,1.0
-103.8,13.96,1.0
181.01,-188.69,1.0
-101.71,22.5,1.0
-116.16,127.68,1.0
-79.17,88.97,1.0
-16.93,21.15,1.0
-65.61,-69.2,1.0
76.04,-9.57,1.0
-100.32,12.87,1.0
168.81,-122.36,1.0
-37.49,61.72,1.0
-78.55,91.43,1.0
-111.72,159.34,1.0
106.52,-85.72,1.0
-92.02,106.33,1.0
-110.99,0.48,1.0
167.88,-132.26,1.0
-63.53,-55.65,1.0
-97.34,132.28,1.0
219.79,-213.65,1.0
-28.96,-3.64,1.0
84.57,-47.62,1.0
-103.57,36.51,1.0
-24.9,18.55,1.0
175.83,-140.58,1.0
154.07,-122.77,1.0
-140.31,48.16,1.0
190.81,-166.44,1.0
-4.19,16.84,1.0
-94.04,-13.05,1.0
95.24,-58.56,1.0
-53.8,51.74,1.0
187.09,-158.93,1.0
127.22,-77.22,1.0
186.61,-172.35,1.0
-101.16,131.1,1.0
-72.95,83.15,1.0
-97.06,-5.18,1.0
-161.15,104.19,1.0
-10.02,9.48,1.0
-126.79,62.31,1.0
-43.89,-59.22,1.0
-98.46,-5.84,1.0
-73.14,-15.79,1.0
160.67,-86.58,1.0
-55.9,-57.92,1.0
-96.79,15.95,1.0
25.75,34.99,1.0
-160.73,101.17,1.0
-82.12,112.96,1.0
183.96,-153.18,1.0
-44.71,71.94,1.0
-59.66,92.9,1.0
-60.87,94.89,1.0
-97.49,2.79,1.0
-18.16,29.48,1.0
-43.31,-56.36,1.0
-49.27,74.55,1.0
166.78,-105.16,1.0
-76.4,114.46,1.0
-85.1,126.03,1.0
131.02,-77.86,1.0
-74.89,-41.02,1.0
-72.81,116.09,1.0
-1.31,17.28,1.0
-108.14,40.38,1.0
167.1,-125.66,1.0
-139.62,40.72,1.0
-87.89,103.52,1.0
-93.73,125.53,1.0
116.97,-82.76,1.0
-103.69,36.7,1.0
-34.76,51.54,1.0
-157.48,102.05,1.0
-76.09,130.53,1.0
-124.54,47.15,1.0
-122.47,148.29,1.0
-16.91,25.95,1.0
14.11,-3.9,1.0
-77.91,132.6,1.0
-104.54,26.51,1.0
-128.34,51.19,1.0
-87.81,-35.03,1.0
-97.02,24.48,1.0
-61.97,62.99,1.0
-124.68,45.17,1.0
-74.24,-36.15,1.0
-46.19,-55.46,1.0
-36.85,-79.69,1.0
169.16,-143.03,1.0
228.74,-219.73,1.0
185.29,-149.62,1.0
-68.05,122.34,1.0
-59.42,71.08,1.0
-98.72,16.77,1.0
150.8,-101.8,1.0
-47.72,14.19,1.0
144.47,-145.54,1.0
120.15,-73.05,1.0
-49.2,-35.19,1.0
150.67,-123.45,1.0
-97.93,-13.04,1.0
-141.25,43.2,1.0
183.99,-177.34,1.0
-111.71,5.11,1.0
179.22,-158.96,1.0
-12.24,10.12,1.0
-130.71,24.61,1.0
-76.86,-7.56,1.0
183.85,-174.74,1.0
160.24,-155.4,1.0
-58.71,-40.54,1.0
-14.38,20.9,1.0
-44.38,63.83,1.0
-66.11,73.25,1.0
150.05,-106.24,1.0
-86.7,127.13,1.0
105.5,-22.27,1.0
-101.8,11.9,1.0
-0.83,1.32,1.0
-30.17,-79.35,1.0
-29.77,-94.97,1.0
