x0,x1,weight
30.72,-33.71,1.0
30.26,-33.68,1.0
29.13,-35.69,1.0
31.26,-34.13,1.0
29.28,-33.06,1.0
38.07,-41.37,1.0
31.38,-32.8,1.0
45.99,-46.01,1.0
40.57,-45.3,1.0
40.12,-45.05,1.0
30.08,-33.6,1.0
28.29,-32.73,1.0
41.55,-44.56,1.0
39.27,-43.79,1.0
43.34,-46.23,1.0
30.01,-32.57,1.0
36.17,-43.34,1.0
46.17,-47.26,1.0
35.14,-38.98,1.0
39.38,-39.16,1.0
27.43,-32.86,1.0
41.52,-46.36,1.0
38.97,-47.19,1.0
33.8,-40.26,1.0
40.76,-44.49,1.0
41.65,-44.26,1.0
30.58,-32.4,1.0
46.0,-47.64,1.0
44.1,-48.84,1.0
33.58,-32.34,1.0
32.84,-33.87,1.0
43.05,-46.23,1.0
35.39,-41.9,1.0
42.79,-48.22,1.0
41.69,-46.01,1.0
45.26,-43.39,1.0
39.24,-45.02,1.0
41.09,-41.13,1.0
41.93,-39.64,1.0
38.34,-43.4,1.0
42.99,-45.15,1.0
40.26,-40.35,1.0
45.72,-43.36,1.0
33.8,-42.39,1.0
25.57,-35.07,1.0
44.99,-44.25,1.0
36.09,-37.9,1.0
33.0,-35.46,1.0
44.19,-43.21,1.0
33.49,-32.64,1.0
35.13,-34.79,1.0
26.68,-32.82,1.0
44.63,-50.23,1.0
47.7,-44.39,1.0
41.02,-42.34,1.0
45.47,-49.69,1.0
44.23,-45.54,1.0
32.87,-36.73,1.0
27.89,-31.34,1.0
42.47,-41.5,1.0
31.47,-37.25,1.0
46.78,-47.45,1.0
26.61,-36.85,1.0
42.21,-48.78,1.0
30.37,-30.89,1.0
34.82,-38.52,1.0
36.01,-37.65,1.0
45.25,-43.02,1.0
35.51,-32.13,1.0
44.83,-49.74,1.0
38.93,-37.18,1.0
33.31,-39.31,1.0
27.14,-31.27,1.0
31.04,-38.26,1.0
34.05,-37.31,1.0
32.79,-39.7,1.0
33.62,-38.97,1.0
44.09,-41.36,1.0
24.38,-34.65,1.0
43.8,-42.13,1.0
29.54,-30.18,1.0
43.97,-50.82,1.0
44.11,-50.91,1.0
35.86,-36.16,1.0
37.32,-36.39,1.0
24.77,-35.59,1.0
35.12,-36.25,1.0
33.52,-43.0,1.0
37.16,-35.48,1.0
36.67,-36.06,1.0
30.59,-29.22,1.0
36.58,-46.34,1.0
48.79,-48.15,1.0
34.59,-45.57,1.0
35.69,-31.98,1.0
27.1,-38.54,1.0
40.53,-50.19,1.0
26.54,-37.24,1.0
37.76,-35.99,1.0
31.22,-38.53,1.0
31.55,-38.47,1.0
34.02,-29.61,1.0
46.35,-49.75,1.0
48.96,-45.37,1.0
49.94,-47.4,1.0
48.68,-47.08,1.0
35.16,-46.03,1.0
37.91,-35.46,1.0
36.1,-34.28,1.0
43.18,-50.95,1.0
47.99,-42.81,1.0
37.62,-48.05,1.0
45.52,-51.46,1.0
31.57,-42.67,1.0
44.27,-39.44,1.0
39.63,-36.83,1.0
22.42,-31.91,1.0
47.02,-51.99,1.0
23.76,-35.74,1.0
50.02,-45.57,1.0
27.53,-29.43,1.0
30.29,-38.96,1.0
34.91,-46.23,1.0
23.95,-28.54,1.0
25.09,-38.16,1.0
35.18,-30.14,1.0
50.89,-46.13,1.0
39.49,-50.06,1.0
23.19,-34.52,1.0
24.12,-37.52,1.0
30.31,-39.33,1.0
24.39,-33.61,1.0
22.23,-33.97,1.0
33.18,-45.53,1.0
46.42,-52.21,1.0
34.68,-46.76,1.0
50.32,-43.74,1.0
20.2,-30.39,1.0
39.23,-34.64,1.0
48.98,-50.62,1.0
39.0,-35.84,1.0
50.08,-43.22,1.0
31.5,-44.0,1.0
23.0,-33.04,1.0
21.7,-28.83,1.0
50.99,-48.99,1.0
31.72,-44.06,1.0
39.6,-35.77,1.0
51.41,-45.79,1.0
37.06,-32.82,1.0
31.78,-44.89,1.0
21.55,-32.05,1.0
52.7,-45.26,1.0
33.07,-28.88,1.0
46.37,-41.24,1.0
49.51,-51.04,1.0
