x0,x1,weight
111.15,171.0,1.0
107.1,169.53,1.0
110.17,171.06,1.0
112.73,173.15,1.0
108.46,171.62,1.0
110.05,172.81,1.0
109.53,173.03,1.0
111.49,170.8,1.0
109.88,170.17,1.0
110.22,171.3,1.0
90.75,174.89,1.0
92.72,179.73,1.0
86.15,175.86,1.0
90.15,178.51,1.0
94.69,172.26,1.0
92.45,177.66,1.0
92.52,176.82,1.0
89.49,176.33,1.0
90.14,176.94,1.0
92.16,174.25,1.0
-228.22,0.09,1.0
-225.06,6.67,1.0
-230.57,3.43,1.0
-227.4,4.36,1.0
-226.7,5.5,1.0
-226.24,5.69,1.0
-224.3,2.41,1.0
-229.84,5.06,1.0
-229.71,6.23,1.0
-225.3,4.23,1.0
150.5,200.87,1.0
148.25,197.86,1.0
149.74,196.07,1.0
150.08,198.73,1.0
147.78,201.25,1.0
148.69,197.36,1.0
146.11,199.89,1.0
146.33,196.73,1.0
149.49,198.86,1.0
147.95,197.62,1.0
222.88,168.29,1.0
223.32,163.8,1.0
226.02,163.53,1.0
222.74,167.0,1.0
222.72,167.4,1.0
219.08,164.74,1.0
225.1,165.18,1.0
226.84,167.08,1.0
224.63,163.32,1.0
222.85,165.02,1.0
-173.5,60.68,1.0
-171.22,57.3,1.0
-174.8,63.36,1.0
-174.33,60.01,1.0
-174.56,61.48,1.0
-170.94,63.2,1.0
-176.66,65.94,1.0
-172.31,64.27,1.0
-172.06,59.29,1.0
-175.49,64.44,1.0
135.81,-170.93,1.0
135.83,-170.39,1.0
133.33,-171.21,1.0
137.54,-167.76,1.0
135.49,-167.63,1.0
133.85,-170.12,1.0
136.58,-169.41,1.0
138.89,-164.75,1.0
135.32,-168.55,1.0
131.66,-169.25,1.0
-5.16,-179.3,1.0
-8.04,-175.35,1.0
-6.74,-178.6,1.0
-6.64,-177.14,1.0
-5.88,-177.39,1.0
-2.55,-174.69,1.0
-4.51,-177.73,1.0
-6.37,-178.13,1.0
-4.17,-176.93,1.0
-2.39,-176.59,1.0
238.94,-143.94,1.0
240.41,-141.38,1.0
240.78,-137.24,1.0
237.64,-139.29,1.0
237.85,-145.51,1.0
235.25,-139.2,1.0
237.89,-145.14,1.0
235.37,-142.3,1.0
241.38,-141.77,1.0
233.49,-140.88,1.0
-173.69,174.65,1.0
-173.71,176.26,1.0
-167.85,177.85,1.0
-172.3,175.69,1.0
-170.13,175.95,1.0
-172.88,176.34,1.0
-175.24,175.29,1.0
-173.38,175.76,1.0
-171.47,174.12,1.0
-170.37,172.72,1.0
143.91,-215.86,1.0
145.75,-212.11,1.0
